FileTimestamp;Rows
2013-04-03;2027

SettlementStatus;PaymentType;PaymentMethod;TransactionID;UniqueID;ShortID;ChannelName;CustomerCountry;Valuedate;RequestTimestamp;Brand;Separator;Credit Trn Amount;Debit Trn Amount;Trn Ccy;Separator;Gross Funding Amount;Separator;Net Funding Amount;Funding Ccy;Separator;Total Fees;Fee Ccy;Settlement Account;Separator;Acq Fx;Separator;Settlement Fx;Separator;Settlement Amt;Settlement ccy
ACK;RI;RM;24343_moneybookerspsp_cc;8a8394883c6ce40f013c9a9f7979454d;9458.2932.3026;GBP;GB ;2013-02-02;2013-02-02 11:16:48;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98161_moneybookerspsp_cc;8a8394883c6ce40f013c9b643ab141e6;9214.7719.4002;USD;US ;2013-02-02;2013-02-02 14:51:42;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98161_moneybookerspsp_cc;8a8394883c6ce40f013c9b643b3b41f1;3717.2138.0114;USD;US ;2013-02-02;2013-02-02 14:51:42;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98161_moneybookerspsp_cc;8a8394883c6ce40f013c9b643bbb41f6;7239.0869.8386;USD;US ;2013-02-02;2013-02-02 14:51:42;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24367_moneybookerspsp_cc;8a8394863c6ce411013c9b646af4369c;8657.0972.8018;USD;US ;2013-02-02;2013-02-02 14:51:54;AMEX;2;0;13200;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24367_moneybookerspsp_cc;8a8394863c6ce411013c9b646ef636a8;3159.5391.4130;USD;US ;2013-02-02;2013-02-02 14:51:56;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98215_moneybookerspsp_cc;8a8394843c6ce407013c9bf9f7e578fd;7185.5676.6482;USD;US ;2013-02-02;2013-02-02 17:35:15;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98215_moneybookerspsp_cc;8a8394843c6ce407013c9bf9f8f8790d;9934.3467.3426;USD;US ;2013-02-02;2013-02-02 17:35:16;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98215_moneybookerspsp_cc;8a8394843c6ce407013c9bf9f85c7908;1688.0095.2594;USD;US ;2013-02-02;2013-02-02 17:35:16;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24379_moneybookerspsp_cc;8a8394823c6ce408013c9bfa20272934;5782.9924.0722;USD;US ;2013-02-02;2013-02-02 17:35:25;AMEX;2;0;4800;USD;2;000;4;00000;;4;;;;6;;6;;2;;
